Data wystawienia;Kontrahent;Przychód;Rozchód
02.09.2020;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;1
31.08.2020;WM UL.BAZYLIOWA 14-14D i 16-16D WE WROC£AWIU;0;3
28.08.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
28.08.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
25.08.2020;Szko³a Podstawowa Nr 83 im. Jana Kasprowicza;0;4
20.08.2020;CENTRUM KREATYWNOŒCI TALENT;0;2
14.08.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
14.08.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
07.08.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
07.08.2020;Wspólnota Mieszkaniowa ul.Skarbowców 78-82D;0;2
06.08.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
06.08.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
31.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
27.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;10
27.07.2020;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;8
20.07.2020;Szko³a Podstawowa Nr 80 im. Tysi¹clecia Wroc³awia;0;6
20.07.2020;Wspólnota Mieszkaniowa Jagie³³y 5a-5b;0;1
10.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
10.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
10.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
01.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
30.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
29.06.2020;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;1
12.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
09.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
09.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
05.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
05.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
02.06.2020;Wspólnota Mieszkaniowa PrzyjaŸni 101-105A;0;2
01.06.2020;"WM ""SOFT LOFTY CENTRUM"" ";0;1
29.05.2020;Superhobby Market Budowlany Sp. zoo;0;1
22.05.2020;"Wspólnota Mieszkaniowa ""Paryski Zak¹tek"" ";0;3
19.05.2020;WSPÓLNOTA MIESZKANIOWA UL. ZIELNA 19-21 WROC£AW;0;1
15.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
15.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
12.05.2020;Zespó³ Szkó³ Nr 3 we Wroc³awiu;0;2
11.05.2020;"Wspólnota Mieszkaniowa ""Zwyciêska 14F""";0;2
08.05.2020;"Wspólnota Mieszkaniowa ,,PARKOWE Z£OTNIKI""";0;2
08.05.2020;Sportowa Szko³a Podstawowa Nr 72;0;5
08.05.2020;Wspólnota Mieszkaniowa REZYDENCJA DUBOIS;0;1
07.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
07.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
