Data wystawienia;Kontrahent;Przych�d;Rozch�d
06.08.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
05.08.2020;NORTECH SPӣKA Z OGRANICZON� ODPOWIEDZIALNO�CI�;0;6
05.08.2020;BOXMET;80;0
05.08.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;16
03.08.2020;KEA IBB Sp. z o.o. ;0;2
31.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
31.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;10
27.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
23.07.2020;DONG YANG Electronics Sp. z o.o.;0;1
20.07.2020;PETER LACKE POLSKA Sp. z o.o.;0;4
20.07.2020;IPF SERVICE Sp. z o.o.;0;2
20.07.2020;Zesp� Elekrociep�owni Wroc�awskich KOGENERACJA S.;0;2
10.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
10.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
10.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;18
10.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
10.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
10.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
09.07.2020;BOXMET;30;0
07.07.2020;BOXMET;30;0
06.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
02.07.2020;Zesp� Elekrociep�owni Wroc�awskich KOGENERACJA S.;0;20
01.07.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
30.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;5
30.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;4
30.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
30.06.2020;Cargilll Poland Sp. z o.o. Oddzia� w Bielanach Wr;0;6
